TEMPERATURE	RESISTIVITY	SECOND_DERIV_RES
101.2816	1.004520152	0.02365009
100.9276	0.996394686	0.023246963
100.5653	0.987757354	0.022984257
100.2095	0.979402648	0.022823498
99.844	0.971878757	0.022546612
99.4761	0.963020003	0.022279
99.1092	0.955224676	0.022070268
98.7578	0.947035108	0.021969092
98.3965	0.939446982	0.02183564
98.0399	0.931453742	0.021547085
97.6744	0.923978057	0.021389227
97.3197	0.916562753	0.02119953
96.9669	0.908689408	0.020865065
96.5991	0.901260609	0.020754313
96.2448	0.893323344	0.020715159
95.883	0.886543898	0.020525089
95.5254	0.879614432	0.020340466
95.1696	0.871652887	0.020235815
94.8023	0.864720376	0.020011456
94.4394	0.85751344	0.019831807
94.0854	0.84963773	0.01959723
93.7269	0.843520479	0.019409598
93.3655	0.836413281	0.019288735
93.0054	0.829354983	0.018977862
92.64	0.822282022	0.018671954
92.2861	0.816170653	0.018455583
91.9287	0.809441428	0.018198145
91.5649	0.803106725	0.01802086
91.2086	0.796131502	0.017976019
90.8492	0.789813486	0.017907427
90.4888	0.783653973	0.017739471
90.1305	0.777801477	0.017540848
89.7613	0.770459202	0.017324575
89.41	0.765011879	0.017178227
89.0558	0.758536946	0.01707186
88.693	0.751756575	0.016906132
88.327	0.746324013	0.016682775
87.9599	0.740874764	0.01652214
87.6027	0.734478899	0.016404515
87.2423	0.728497411	0.016247602
86.8814	0.722261001	0.016166554
86.5236	0.717059759	0.016011224
86.1557	0.711376692	0.015899162
85.8011	0.705744679	0.015679407
85.4461	0.699233086	0.015283361
85.0732	0.694204781	0.014934549
84.7197	0.689042108	0.014713416
84.3581	0.683293392	0.014696444
83.9862	0.678685812	0.014620995
83.6239	0.673470623	0.014237139
83.282	0.668390878	0.014206522
82.9092	0.662956474	0.014479934
82.5592	0.658203559	0.014456424
82.2012	0.65255208	0.014295028
81.835	0.647248993	0.014182227
81.4792	0.642640945	0.014048926
81.1052	0.637490019	0.013767404
80.7557	0.631282927	0.013529647
80.408	0.628246513	0.013255611
80.0411	0.623028476	0.013136521
79.6888	0.618566564	0.013193535
79.3164	0.613677506	0.013069226
78.9722	0.608857513	0.012896015
78.5935	0.604546083	0.012685855
78.2415	0.59967444	0.012747508
77.8766	0.595234032	0.012573475
77.5266	0.589650968	0.012225159
77.1597	0.586579019	0.012021853
76.8046	0.582301329	0.011692243
76.4552	0.577917665	0.011685092
76.0767	0.573850302	0.011603595
75.7276	0.569789518	0.011498335
75.3805	0.566005062	0.011459805
75.0023	0.561172172	0.011459558
74.6491	0.557685204	0.01140763
74.2925	0.553049181	0.011167886
73.9286	0.548524943	0.011077531
73.5616	0.545195367	0.011008803
73.2232	0.541157303	0.010842106
72.8429	0.537870145	0.010633659
72.4847	0.533992619	0.01049157
72.1311	0.529935644	0.010317455
71.7748	0.526332323	0.01000778
71.4127	0.522558858	0.009895916
71.0586	0.518815319	0.009982342
70.6853	0.515575809	0.010119911
70.3252	0.511770585	0.010119473
69.9678	0.508661377	0.009814919
69.6138	0.505101152	0.009694289
69.2485	0.502196976	0.009702225
68.8819	0.497217862	0.009562606
68.5162	0.493418105	0.009357022
68.1562	0.490438472	0.00932161
67.8122	0.487870528	0.009371867
67.4498	0.484887542	0.009157033
67.0893	0.480935175	0.008986693
66.7341	0.47810792	0.008785427
66.3815	0.475214519	0.008735393
66.0212	0.471713637	0.008924499
65.6489	0.467384671	0.008828723
65.2873	0.46528195	0.008609886
64.9479	0.46245337	0.008407721
64.5749	0.458725914	0.00824051
64.2188	0.456284286	0.008076042
63.8487	0.453132363	0.00787271
63.4968	0.450739514	0.007733976
63.128	0.447799048	0.007789859
62.7761	0.444662108	0.007809412
62.4212	0.442060414	0.007681252
62.0638	0.439749181	0.007789068
61.7108	0.436514432	0.007796571
61.3475	0.43382593	0.007635609
60.9723	0.431072639	0.007566865
60.6201	0.428510316	0.007317995
60.2564	0.425314061	0.007155531
59.9062	0.423119979	0.007106349
59.5441	0.420328082	0.006914788
59.193	0.418645929	0.006771473
58.8139	0.415606454	0.006724466
58.4731	0.413417258	0.006589292
58.1036	0.411451958	0.006459086
57.7423	0.408454797	0.006516687
57.3868	0.406222895	0.006530443
57.0269	0.403941795	0.006408497
56.6516	0.401694043	0.006210077
56.3116	0.399449603	0.006130875
55.9474	0.397434999	0.006129865
55.5716	0.394810265	0.005923644
55.2297	0.392926617	0.005789831
54.8572	0.391063639	0.005808911
54.5186	0.389213637	0.005864955
54.136	0.386536095	0.005868333
53.7768	0.384351052	0.005750082
53.4332	0.382746012	0.005571439
53.0561	0.380543974	0.005591917
52.6952	0.378450563	0.005686487
52.3507	0.376186444	0.005528485
51.9912	0.374343354	0.00532725
51.6346	0.372879477	0.005291146
51.2738	0.37120127	0.005329806
50.9049	0.368844208	0.005179209
50.5431	0.366516031	0.004981349
50.1875	0.365216081	0.004891775
49.8286	0.363601274	0.004899457
49.4716	0.361529702	0.004949679
49.106	0.359811396	0.004882128
48.7505	0.358300306	0.00465382
48.3885	0.356894297	0.004458995
48.023	0.354854478	0.004509267
47.6635	0.35324226	0.004339811
47.3089	0.351516187	0.004100101
46.9479	0.350072355	0.004214124
46.5891	0.348686846	0.004317121
46.2303	0.347648258	0.004289014
45.8618	0.345892752	0.004086881
45.52	0.344437268	0.004084052
45.1587	0.343383632	0.004111892
44.7831	0.340610852	0.004120571
44.4255	0.339280848	0.004213086
44.0748	0.338329088	0.004124567
43.7144	0.337017449	0.003855071
43.3508	0.335837126	0.003556681
42.992	0.333642685	0.003503443
42.6302	0.333355199	0.003381466
42.2733	0.33112087	0.003291533
41.9127	0.330805034	0.003400333
41.5514	0.329523374	0.003384245
41.1887	0.328747171	0.003179368
40.8317	0.326911128	0.003013763
40.4721	0.325556014	0.003117241
40.1284	0.324805274	0.003169807
39.7556	0.323961294	0.003119744
39.3867	0.322226487	0.003150174
39.0293	0.321740686	0.002995461
38.6729	0.320748705	0.002752843
38.3077	0.319211092	0.002733982
37.9491	0.31815104	0.002809933
37.6078	0.317356639	0.002595445
37.2466	0.316790704	0.002395068
36.8879	0.315288044	0.002516532
36.516	0.315209348	0.002569453
36.1576	0.313773959	0.002395685
35.797	0.312939347	0.002460523
35.4397	0.312551979	0.002540065
35.0787	0.311709055	0.00244003
34.7311	0.309862613	0.002433321
34.3669	0.309210896	0.002552182
34.0089	0.308628404	0.002374898
33.646	0.307980787	0.002208619
33.2836	0.306684151	0.002262534
32.9228	0.306762356	0.002077115
32.5605	0.305331407	0.001890402
32.2033	0.304405788	0.001871741
31.8332	0.30413856	0.001867439
31.4881	0.303979092	0.001905433
31.13	0.302346077	0.001916239
30.7641	0.302271959	0.001984525
30.4048	0.301422878	0.001953646
30.0435	0.300858551	0.001568285
29.7018	0.300455821	0.001553821
29.3194	0.299385151	0.001636728
28.9707	0.298292356	0.00151864
28.6187	0.298534925	0.001476418
28.2451	0.297765795	0.001242789
27.8881	0.298159823	0.001007862
27.5461	0.298032515	0.001
27.1638	0.295709141	0.000827
26.7999	0.296184423	0.000872
26.4505	0.295617346	0.001050785
26.0951	0.296383111	0.001055869
25.729	0.295653819	0.00148857
25.3859	0.294809966	0.001639143
25.0103	0.294191645	0.001342365
24.6457	0.294197172	0.001542643
24.301	0.292652453	0.001427312
23.9263	0.293353557	0.001170938
23.5697	0.291218748	0.001211102
23.2128	0.290786356	0.000815
22.8534	0.292304695	0.000752
22.4939	0.291544306	0.000835
22.1319	0.291642566	0.000665
21.7736	0.292160831	0.00069
21.4231	0.289938	0.000213
21.068	0.29011386	0.000231
20.7017	0.290886555	0.00108357
20.34	0.288883474	0.001264955
19.9801	0.290281248	0.000809
19.6196	0.289394519	0.000616
19.2597	0.290269447	0.000575
18.8941	0.289952457	0.000739
18.5347	0.286913593	0.000795
18.1874	0.287619946	0.000409
17.8104	0.288606874	0.000389
17.4637	0.289544874	6.52e-05
17.1028	0.286875295	9.71e-05
16.7413	0.287816372	0.000302
16.3738	0.288011296	8.34e-05
16.0277	0.289055325	0.000899
15.6638	0.287621352	0.001442936
15.2994	0.288261651	0.00063
14.9362	0.287077005	-0.000106
14.5887	0.284786442	0.000298
14.2178	0.286408283	0.000902
13.8722	0.285629549	0.000882
